2.00 	0.01 	0.01 	1.00 	0.45 	0.65
2.00 	0.02 	0.03 	2.50 	0.65 	0.70
2.00 	0.03 	0.05 	1.50 	0.60 	0.75
2.00 	0.04 	0.02 	3.00 	0.55 	0.80
2.00 	0.05 	0.04 	2.00 	0.50 	0.85
2.50 	0.01 	0.05 	2.50 	0.55 	0.85
2.50 	0.02 	0.02 	1.50 	0.50 	0.65
2.50 	0.03 	0.04 	3.00 	0.45 	0.70
2.50 	0.04 	0.01 	2.00 	0.65 	0.75
2.50 	0.05 	0.03 	1.00 	0.60 	0.80
3.00 	0.01 	0.04 	1.50 	0.65 	0.80
3.00 	0.02 	0.01 	3.00 	0.60 	0.85
3.00 	0.03 	0.03 	2.00 	0.55 	0.65
3.00 	0.04 	0.05 	1.00 	0.50 	0.70
3.00 	0.05 	0.02 	2.50 	0.45 	0.75
3.50 	0.01 	0.03 	3.00 	0.50 	0.75
3.50 	0.02 	0.05 	2.00 	0.45 	0.80
3.50 	0.03 	0.02 	1.00 	0.65 	0.85
3.50 	0.04 	0.04 	2.50 	0.60 	0.65
3.50 	0.05 	0.01 	1.50 	0.55 	0.70
4.00 	0.01 	0.02 	2.00 	0.60 	0.70
4.00 	0.02 	0.04 	1.00 	0.55 	0.75
4.00 	0.03 	0.01 	2.50 	0.50 	0.80
4.00 	0.04 	0.03 	1.50 	0.45 	0.85
4.00 	0.05 	0.05 	3.00 	0.65 	0.65
